,Producto,Precio,Unidades Vendidas,Ciudad,Genero Comprador,Satisfacción Cliente,Tiempo de Envío (días),Total Ventas
0,Smartphone,745,86,Barcelona,F,6,3,64070
1,Smartphone,1138,287,Madrid,F,3,5,326606
2,Smartphone,611,217,Portugal,M,7,7,132587
3,Audifonos,1391,192,Barcelona,F,8,5,267072
4,Smartphone,1016,19,Valencia,M,8,11,19304
5,Mouse,162,133,Barcelona,M,9,3,21546
6,Monitor,1755,5,Valencia,F,6,12,8775
7,Smartphone,309,112,Madrid,M,4,6,34608
8,Smartphone,948,116,Barcelona,F,5,8,109968
9,Teclado,402,254,Portugal,M,8,12,102108
10,Smartphone,1566,254,Valencia,M,8,13,397764
11,Mouse,339,135,Barcelona,M,4,13,45765
12,Mouse,297,167,Barcelona,M,6,13,49599
13,Smartphone,1290,133,Portugal,M,3,8,171570
14,Laptop,1757,11,Madrid,M,7,9,19327
15,Teclado,494,80,Barcelona,M,6,8,39520
16,Laptop,619,218,Barcelona,F,8,13,134942
17,Mouse,841,40,Portugal,F,3,11,33640
18,Teclado,575,147,Valencia,M,3,11,84525
19,Smartphone,133,107,Madrid,F,9,3,14231
20,Mouse,851,230,Valencia,F,7,9,195730
21,Teclado,185,155,Portugal,F,2,9,28675
22,Audifonos,626,145,Portugal,F,1,5,90770
23,Teclado,542,139,Barcelona,F,5,14,75338
24,Smartphone,1876,189,Portugal,F,7,10,354564
25,Teclado,1981,111,Portugal,M,2,2,219891
26,Smartphone,1831,249,Madrid,M,9,3,455919
27,Smartphone,1334,159,Valencia,M,8,3,212106
28,Monitor,1759,238,Valencia,F,6,6,418642
29,Audifonos,172,232,Valencia,M,2,2,39904
30,Monitor,1551,105,Valencia,M,5,6,162855
31,Mouse,1251,163,Valencia,M,6,1,203913
32,Mouse,905,91,Madrid,M,5,10,82355
33,Monitor,1652,72,Valencia,M,5,10,118944
34,Monitor,1880,143,Madrid,M,2,11,268840
35,Mouse,919,22,Barcelona,M,7,10,20218
36,Smartphone,188,112,Barcelona,M,8,13,21056
37,Smartphone,1862,217,Portugal,F,2,12,404054
38,Laptop,699,179,Madrid,F,8,5,125121
39,Teclado,150,131,Madrid,M,3,5,19650
40,Laptop,335,57,Barcelona,M,7,3,19095
41,Laptop,1952,72,Valencia,F,9,4,140544
42,Monitor,628,201,Valencia,M,2,2,126228
43,Audifonos,1737,87,Portugal,M,8,7,151119
44,Audifonos,180,267,Madrid,M,9,1,48060
45,Teclado,1441,125,Madrid,M,8,1,180125
46,Monitor,510,65,Barcelona,M,5,8,33150
47,Teclado,1862,96,Valencia,M,2,12,178752
48,Laptop,1006,138,Portugal,M,2,2,138828
49,Laptop,1418,75,Barcelona,F,2,3,106350
50,Laptop,1713,298,Madrid,F,6,2,510474
51,Teclado,368,147,Madrid,M,2,2,54096
52,Laptop,550,49,Barcelona,M,8,7,26950
53,Mouse,541,152,Valencia,M,4,11,82232
54,Smartphone,1452,233,Madrid,F,1,14,338316
55,Laptop,1351,46,Barcelona,F,8,4,62146
56,Mouse,1223,128,Madrid,M,3,8,156544
57,Smartphone,348,232,Barcelona,M,1,11,80736
58,Smartphone,1144,181,Valencia,F,8,9,207064
59,Smartphone,1389,165,Madrid,F,1,5,229185
60,Mouse,698,109,Barcelona,F,3,10,76082
61,Teclado,191,235,Valencia,F,2,14,44885
62,Smartphone,861,289,Valencia,F,8,14,248829
63,Teclado,760,47,Valencia,F,6,2,35720
64,Mouse,1641,13,Portugal,F,4,3,21333
65,Mouse,1500,259,Valencia,F,6,10,388500
66,Audifonos,734,60,Madrid,M,1,1,44040
67,Monitor,987,157,Barcelona,M,1,2,154959
68,Audifonos,1009,236,Madrid,F,8,7,238124
69,Mouse,1693,260,Valencia,F,2,11,440180
70,Laptop,1421,233,Madrid,M,8,6,331093
71,Laptop,450,148,Valencia,M,8,13,66600
72,Monitor,471,113,Madrid,M,1,6,53223
73,Laptop,508,247,Barcelona,F,1,3,125476
